Time,CPU,Total_Memory,Free_Memory,Used_Memory,Percentage_Utilization,Bytes_Sent,Bytes_Receive
342,1.0,2097139712,1126068224,130277376,15.5,51894193,79297164
343,2.0,2097139712,1126133760,130211840,15.5,51899639,79300168
344,1.0,2097139712,1126002688,130342912,15.5,51904808,79302904
345,1.0,2097139712,1126068224,130277376,15.5,51910420,79305744
346,2.0,2097139712,1126133760,130211840,15.5,51915745,79308414
347,0.0,2097139712,1126002688,130342912,15.5,51921223,79311088
348,0.0,2097139712,1126035456,130310144,15.5,51926347,79313922
349,2.0,2097139712,1126133760,130211840,15.5,51932062,79316856
350,1.0,2097139712,1126002688,130342912,15.5,51937694,79319926
351,2.0,2097139712,1126068224,130277376,15.5,51943394,79323054
352,2.0,2097139712,1126133760,130211840,15.5,51948882,79325860
353,1.0,2097139712,1126002688,130342912,15.5,51954435,79328728
354,2.0,2097139712,1126068224,130277376,15.5,51959930,79331530
355,2.0,2097139712,1126133760,130211840,15.5,51965123,79334200
356,0.0,2097139712,1126002688,130342912,15.5,51970103,79336800
357,1.0,2097139712,1126035456,130310144,15.5,51975448,79339734
358,0.0,2097139712,1126100992,130244608,15.5,51980872,79342408
359,2.0,2097139712,1125969920,130375680,15.5,51985930,79345008
360,2.0,2097139712,1126035456,130310144,15.5,51991275,79347612
361,1.0,2097139712,1126100992,130244608,15.5,51996785,79350616
362,2.0,2097139712,1126166528,130179072,15.5,52002054,79353088
363,1.0,2097139712,1126002688,130342912,15.5,52007287,79355428
364,1.0,2097139712,1126035456,130310144,15.5,52012512,79357768
365,1.0,2097139712,1126100992,130244608,15.5,52017671,79360306
366,0.0,2097139712,1125969920,130375680,15.5,52023038,79363108
367,1.0,2097139712,1126035456,130310144,15.5,52028507,79365976
368,1.0,2097139712,1126100992,130244608,15.5,52033984,79368844
369,2.9,2097139712,1125969920,130375680,15.5,52039160,79371576
370,1.0,2097139712,1126035456,130310144,15.5,52044537,79374246
371,1.0,2097139712,1126100992,130244608,15.5,52049880,79376892
372,0.0,2097139712,1126133760,130211840,15.5,52054973,79379562
373,1.0,2097139712,1126002688,130342912,15.5,52060647,79382500
374,2.0,2097139712,1126068224,130277376,15.5,52065916,79384972
375,1.0,2097139712,1126133760,130211840,15.5,52071303,79387708
376,1.0,2097139712,1126002688,130342912,15.5,52076692,79390180
377,1.0,2097139712,1126035456,130310144,15.5,52082144,79392912
378,0.0,2097139712,1126100992,130244608,15.5,52087438,79395512
379,1.0,2097139712,1125969920,130375680,15.5,52092546,79398450
380,1.0,2097139712,1126035456,130310144,15.5,52097829,79400922
381,1.0,2097139712,1126100992,130244608,15.5,52103260,79403724
382,1.0,2097139712,1125969920,130375680,15.5,52108684,79406398
383,1.0,2097139712,1126035456,130310144,15.5,52113688,79408998
